abstract,camo,cheveron,dot,floral,graphic,plaid,leopard,stripes,pattern,none
abstract                     ,camo                         ,chevron                      ,circle                       ,botanical                    ,animal                       ,checked                      ,cheetah                      ,boxy striped                 ,bandana                      ,colorblock                   
abstract chevron             ,camouflage                   ,chevron print                ,dot                          ,botanical print              ,animal print                 ,checkered                    ,giraffe                      ,breton                       ,bandana print                ,colorblocked                 
abstract chevron print       ,,houndstooth                  ,dots                         ,chiffon floral               ,bird                         ,grid                         ,giraffe print                ,breton stripe                ,baroque                      ,linen                        
abstract diamond             ,,zig                          ,dotted                       ,crochet floral               ,bird print                   ,grid print                   ,leopard                      ,classic striped              ,baroque print                ,linen-blend                  
abstract floral              ,,zigzag                       ,polka dot                    ,daisy                        ,brushstroke                  ,,leopard print                ,geo stripe                   ,folk                         ,marled                       
abstract floral print        ,,,pom-pom                      ,daisy print                  ,brushstroke print            ,,,heathered stripe             ,folk print                   ,ombre                        
abstract geo                 ,,,spotted                      ,ditsy                        ,butterfly                    ,,,knit stripe                  ,ikat                         ,ringer                       
abstract geo print           ,,,,ditsy floral                 ,butterfly print              ,,,knit striped                 ,ikat print                   ,structured                   
abstract paisley             ,,,,ditsy floral print           ,clashist                     ,,,marled stripe                ,kaleidoscope                 ,tonal                        
abstract pattern             ,,,,embroidered floral           ,geo                          ,,,mixed stripe                 ,kaleidoscope print           ,two-tone                     
abstract print               ,,,,floral                       ,geo pattern                  ,,,multi-stripe                 ,mandala                      ,watercolor                   
abstract printed             ,,,,floral flutter               ,geo print                    ,,,nautical stripe              ,mandala print                ,
abstract stripe              ,,,,floral paisley               ,graphic                      ,,,nautical striped             ,mosaic                       ,
diamond                      ,,,,floral pattern               ,medallion                    ,,,pinstripe                    ,mosaic print                 ,
diamond print                ,,,,floral print                 ,medallion print              ,,,pinstriped                   ,ornate                       ,
foil                         ,,,,floral textured              ,mixed                        ,,,ribbed stripe                ,ornate paisley               ,
heart                        ,,,,floral-embroidered           ,mixed print                  ,,,rugby stripe                 ,ornate print                 ,
heart print                  ,,,,flower                       ,nautical                     ,,,rugby striped                ,paisley                      ,
marble                       ,,,,leaf                         ,paint                        ,,,stripe                       ,paisley print                ,
marble print                 ,,,,leaf print                   ,paint splatter               ,,,striped                      ,pattern                      ,
sophisticated                ,,,,leave                        ,painted                      ,,,stripes                      ,patterned                    ,
speckled                     ,,,,palm                         ,print                        ,,,varsity-striped              ,southwestern                 ,
splatter                     ,,,,palm print                   ,print shirt                  ,,,,southwestern-inspired        ,
,,,,palm springs                ,print woven                  ,,,,southwestern-patterned       ,
,,,,palm tree                    ,printed                      ,,,,southwestern-print           ,
,,,,,tribal                       ,,,,,
,,,,,tribal-inspired              ,,,,,
